iter	Accuracy	MultiClass
0	0.9030731137	1.050557878
1	0.903094223	1.006265472
2	0.9031808064	0.9652170706
3	0.90697634	0.9273037671
4	0.9136243531	0.8916382177
5	0.9134844573	0.858487372
6	0.9126648238	0.8276741082
7	0.9132773317	0.7986896667
8	0.9134850141	0.7712244832
9	0.9132981609	0.7460368961
10	0.9135923226	0.7218090994
11	0.9134843635	0.6990582663
12	0.9141699246	0.6774135854
13	0.9141450175	0.6568617726
14	0.913979108	0.6380858581
15	0.9143385925	0.6197898747
16	0.9133017171	0.6022525032
17	0.9128583029	0.585246739
18	0.9131877498	0.5691633305
19	0.913246307	0.5543108746
20	0.9134591368	0.5395239215
21	0.9134349096	0.5259736287
22	0.913454972	0.5132253201
23	0.9135355084	0.5006309107
24	0.9135538472	0.4885486557
25	0.9134476749	0.4767434737
26	0.9135701932	0.4654539637
27	0.9142767613	0.4547013858
28	0.9146780945	0.4440329884
29	0.9152115571	0.4338815094
30	0.9155426251	0.4243690889
31	0.9155008886	0.4153353818
32	0.9158533743	0.4062284798
33	0.9155528021	0.3977775669
34	0.9159789017	0.3893606473
35	0.9161407063	0.3813598978
36	0.9164266772	0.3738925835
37	0.916516152	0.3664446688
38	0.9165423319	0.359473309
39	0.9166190858	0.3527869965
40	0.9166416939	0.346161074
41	0.9168896717	0.3397694887
42	0.9170759135	0.3334202886
43	0.9173985692	0.3273308633
44	0.9174351045	0.3215605616
45	0.9179023541	0.3159526289
46	0.9181056479	0.3105008187
47	0.9184866865	0.305312947
48	0.9186029692	0.3001928083
49	0.9192640963	0.2953309251
50	0.9192861091	0.2906838153
51	0.9195323798	0.2861051235
52	0.9199602197	0.2816254937
53	0.9201216007	0.2773966333
54	0.9205490432	0.2730732617
55	0.9207618741	0.2691010413
56	0.9209534404	0.2654178336
57	0.9215251278	0.2615979269
58	0.921842337	0.2578757348
59	0.9221396607	0.2542348012
60	0.9224406648	0.2507020692
61	0.9225902581	0.2473695562
62	0.922774696	0.2441080913
63	0.9230111902	0.2409650027
64	0.92327598	0.2378263065
65	0.9234454232	0.2348600884
66	0.9235680744	0.2319361645
67	0.923867515	0.2291358854
68	0.9240678924	0.2266285264
69	0.9241970044	0.2241701743
70	0.9244707862	0.2214624603
71	0.924807093	0.218852135
72	0.9252451879	0.2162430516
73	0.9254348639	0.2140683623
74	0.9255567038	0.2116735082
75	0.9257288568	0.2093584915
76	0.9257469494	0.2072758313
77	0.9259056445	0.2052440527
78	0.9259256473	0.2033990968
79	0.9260084085	0.2014965422
80	0.9260933589	0.1996442983
81	0.9264692329	0.1975942274
82	0.9283315457	0.1945009806
83	0.9289485445	0.192729889
84	0.9293029333	0.1908043504
85	0.9309368386	0.1876793168
86	0.9312009637	0.1859266599
87	0.9314354356	0.1841697478
88	0.9314538439	0.1827675398
89	0.9317257388	0.1811802713
90	0.9329694269	0.1787925611
91	0.9330594491	0.1774725401
92	0.9333776137	0.176030056
93	0.9343508355	0.1739458184
94	0.9343712527	0.1727465132
95	0.9347976084	0.1713522902
96	0.934852737	0.1702115774
97	0.9358085305	0.1682289411
98	0.9368752728	0.1661048467
99	0.9372410868	0.1646496823
100	0.9373297899	0.1635421548
101	0.9374702337	0.1624761754
102	0.9382790345	0.1606543819
103	0.9385832088	0.1593575605
