iter	Passed	Remaining
0	137	110110
1	297	118548
2	442	117447
3	577	114839
4	725	115288
5	880	116576
6	1022	115846
7	1170	115833
8	1319	115964
9	1454	114873
10	1597	114609
11	1734	113906
12	1893	114622
13	2034	114208
14	2162	113180
15	2322	113805
16	2455	113100
17	2605	113192
18	2759	113441
19	2914	113682
20	3062	113590
21	3205	113368
22	3355	113364
23	3501	113225
24	3651	113195
25	3790	112840
26	3948	113033
27	4086	112679
28	4239	112724
29	4377	112357
30	4531	112398
31	4681	112352
32	4853	112817
33	5023	113169
34	5198	113630
35	5364	113838
36	5521	113855
37	5675	113810
38	5840	113955
39	6007	114143
40	6179	114392
41	6346	114540
42	6495	114354
43	6657	114389
44	6813	114319
45	6978	114394
46	7134	114298
47	7296	114314
48	7485	114725
49	7637	114564
50	7816	114797
51	7973	114701
52	8129	114575
53	8278	114360
54	8418	114035
55	8576	113949
56	8721	113690
57	8859	113334
58	9005	113106
59	9165	113040
60	9324	112960
61	9473	112765
62	9631	112675
63	9792	112613
64	9963	112668
65	10128	112637
66	10278	112455
67	10452	112513
68	10606	112372
69	10765	112269
70	10932	112250
71	11084	112078
72	11253	112075
73	11445	112293
74	11572	111869
75	11761	112044
76	11953	112237
77	12123	112221
78	12305	112305
79	12485	112367
80	12666	112433
81	12820	112255
82	12906	111493
83	13045	111201
84	13199	111033
85	13366	110976
86	13533	110914
87	13701	110856
88	13870	110808
89	14012	110542
90	14181	110489
91	14320	110204
92	14484	110114
93	14651	110041
94	14824	110015
95	14982	109873
96	15143	109749
97	15310	109670
98	15491	109691
99	15640	109483
100	15796	109322
101	15950	109148
102	16111	109028
103	16274	108914
104	16446	108861
105	16610	108754
106	16768	108606
107	16926	108455
108	17076	108254
109	17187	107813
110	17324	107539
111	17490	107441
112	17631	107190
113	17785	107027
114	17931	106809
115	18082	106621
116	18244	106505
117	18373	106191
118	18508	105916
119	18677	105837
120	18823	105626
121	18978	105469
122	19116	105217
123	19280	105107
124	19434	104944
125	19581	104747
126	19748	104650
127	19912	104539
128	20080	104449
129	20250	104366
130	20393	104145
131	20544	103969
132	20663	103630
133	20797	103368
134	20957	103232
135	21088	102960
136	21286	103016
137	21451	102903
138	21615	102790
139	21759	102582
140	21925	102475
141	22098	102398
142	22258	102264
143	22407	102079
144	22553	101879
145	22695	101663
146	22823	101384
147	22964	101169
148	23117	101002
149	23266	100823
150	23320	100233
151	23486	100125
152	23650	100013
153	23838	99997
154	24007	99900
155	24155	99717
156	24323	99617
157	24483	99483
158	24644	99354
159	24813	99254
160	24977	99132
161	25131	98973
162	25291	98837
163	25449	98696
164	25631	98642
165	25801	98544
166	25978	98470
167	26131	98303
168	26277	98112
169	26425	97928
170	26560	97699
171	26723	97571
172	26877	97411
173	27026	97232
174	27173	97047
175	27202	96444
176	27361	96307
177	27504	96112
178	27631	95859
179	27756	95606
180	27899	95414
181	28041	95217
182	28210	95114
183	28369	94976
184	28511	94779
185	28657	94599
186	28805	94426
187	28924	94159
188	29074	93991
189	29216	93799
190	29361	93618
191	29489	93382
192	29650	93253
193	29812	93124
194	29971	92987
195	30124	92831
196	30264	92638
197	30401	92433
198	30543	92244
199	30710	92131
200	30850	91937
201	30992	91748
202	31140	91582
203	31280	91388
204	31391	91111
205	31525	90902
206	31654	90682
207	31794	90491
208	31925	90277
209	32069	90098
210	32230	89971
211	32353	89734
212	32417	89339
213	32558	89156
214	32687	88940
215	32849	88814
216	32993	88642
217	33147	88493
218	33224	88142
219	33358	87945
220	33507	87785
221	33640	87586
222	33784	87415
223	33932	87255
224	34069	87066
225	34222	86918
226	34378	86779
227	34517	86596
228	34666	86439
229	34808	86264
230	34951	86092
231	35096	85924
232	35243	85765
233	35389	85600
234	35524	85410
235	35686	85285
236	35825	85104
237	35962	84920
238	36107	84754
239	36239	84558
240	36379	84382
241	36533	84239
242	36681	84079
243	36790	83833
244	36926	83649
245	37073	83490
246	37227	83348
247	37362	83162
248	37540	83071
249	37681	82899
250	37822	82727
251	37966	82562
252	38097	82369
253	38251	82226
254	38398	82066
255	38536	81891
256	38678	81721
257	38837	81588
258	38965	81391
259	39122	81255
260	39292	81143
261	39460	81030
262	39616	80889
263	39753	80710
264	39887	80527
265	40035	80372
266	40167	80185
267	40323	80044
268	40486	79918
269	40589	79675
270	40724	79495
271	40876	79348
272	41048	79240
273	41206	79104
274	41356	78954
275	41509	78808
276	41644	78627
277	41790	78469
278	41945	78328
279	42075	78140
280	42229	77997
281	42377	77842
282	42519	77676
283	42658	77505
284	42787	77317
285	42925	77146
286	43068	76983
287	43188	76778
288	43336	76626
289	43466	76441
290	43612	76284
291	43749	76111
292	43883	75935
293	44001	75730
294	44136	75555
295	44289	75411
296	44431	75248
297	44585	75107
298	44735	74958
299	44876	74794
300	45016	74629
301	45145	74445
302	45315	74329
303	45468	74184
304	45599	74005
305	45718	73807
306	45835	73605
307	45959	73416
308	46100	73253
309	46255	73113
310	46399	72956
311	46552	72812
312	46687	72641
313	46833	72487
314	46963	72309
315	47108	72153
316	47265	72015
317	47431	71892
318	47586	71752
319	47739	71609
320	47902	71480
321	48056	71338
322	48218	71208
323	48269	70914
324	48406	70747
325	48544	70583
326	48690	70430
327	48850	70297
328	48996	70144
329	49120	69959
330	49293	69845
331	49433	69683
332	49583	69536
333	49744	69404
334	49886	69245
335	50040	69103
